Category: All categories

Week,Python: (United States),Java: (United States),R: (United States)
2017-02-05,59,65,24
2017-02-12,60,66,25
2017-02-19,60,64,24
2017-02-26,61,66,24
2017-03-05,61,64,25
2017-03-12,57,60,22
2017-03-19,58,62,23
2017-03-26,64,61,24
2017-04-02,61,62,24
2017-04-09,60,61,25
2017-04-16,61,62,25
2017-04-23,62,62,26
2017-04-30,57,58,24
2017-05-07,57,56,22
2017-05-14,52,51,19
2017-05-21,52,50,19
2017-05-28,50,44,17
2017-06-04,55,49,19
2017-06-11,56,48,19
2017-06-18,59,49,20
2017-06-25,56,47,19
2017-07-02,48,43,17
2017-07-09,57,49,19
2017-07-16,58,51,20
2017-07-23,57,51,19
2017-07-30,55,49,18
2017-08-06,55,49,18
2017-08-13,53,46,17
2017-08-20,48,45,17
2017-08-27,53,50,19
2017-09-03,52,50,19
2017-09-10,61,59,22
2017-09-17,62,61,23
2017-09-24,63,63,23
2017-10-01,64,61,23
2017-10-08,64,61,23
2017-10-15,63,60,23
2017-10-22,64,61,23
2017-10-29,63,60,23
2017-11-05,64,59,23
2017-11-12,64,59,23
2017-11-19,46,41,18
2017-11-26,59,53,23
2017-12-03,62,56,24
2017-12-10,55,50,21
2017-12-17,48,42,16
2017-12-24,34,27,11
2017-12-31,43,35,14
2018-01-07,53,46,17
2018-01-14,56,48,19
2018-01-21,63,55,21
2018-01-28,66,58,24
2018-02-04,66,58,24
2018-02-11,67,58,24
2018-02-18,63,55,23
2018-02-25,66,58,23
2018-03-04,65,53,22
2018-03-11,62,53,20
2018-03-18,63,54,22
2018-03-25,63,52,21
2018-04-01,65,54,22
2018-04-08,65,55,23
2018-04-15,66,56,23
2018-04-22,65,55,24
2018-04-29,62,51,23
2018-05-06,59,49,20
2018-05-13,58,47,19
2018-05-20,59,46,19
2018-05-27,54,42,18
2018-06-03,61,46,18
2018-06-10,64,45,19
2018-06-17,65,45,18
2018-06-24,64,45,18
2018-07-01,54,38,16
2018-07-08,63,45,18
2018-07-15,63,45,18
2018-07-22,63,46,19
2018-07-29,63,44,18
2018-08-05,61,44,18
2018-08-12,59,43,17
2018-08-19,61,45,17
2018-08-26,63,50,19
2018-09-02,59,47,20
2018-09-09,68,55,22
2018-09-16,73,58,24
2018-09-23,72,59,24
2018-09-30,71,55,24
2018-10-07,73,54,23
2018-10-14,72,56,23
2018-10-21,73,55,23
2018-10-28,72,53,23
2018-11-04,71,51,22
2018-11-11,70,51,22
2018-11-18,52,37,17
2018-11-25,69,49,23
2018-12-02,70,50,23
2018-12-09,62,46,21
2018-12-16,55,39,16
2018-12-23,36,24,11
2018-12-30,45,29,12
2019-01-06,60,43,17
2019-01-13,63,46,19
2019-01-20,67,47,21
2019-01-27,71,52,23
2019-02-03,74,53,24
2019-02-10,74,54,24
2019-02-17,74,51,24
2019-02-24,74,52,23
2019-03-03,73,51,23
2019-03-10,70,50,22
2019-03-17,69,49,21
2019-03-24,70,49,22
2019-03-31,71,49,23
2019-04-07,72,49,22
2019-04-14,73,49,23
2019-04-21,73,50,24
2019-04-28,68,47,22
2019-05-05,67,45,20
2019-05-12,70,47,20
